,Total_Population,CO2_Emissions_by_Sector_Building,CO2_Emissions_by_Sector_Bunker_Fuels,CO2_Emissions_by_Sector_Electricity_Heat,CO2_Emissions_by_Sector_Energy,CO2_Emissions_by_Sector_Fugitive_Emissions,CO2_Emissions_by_Sector_Industrial_Processes,CO2_Emissions_by_Sector_Land_Use_Change_and_Forestry,CO2_Emissions_by_Sector_Manufacturing_Construction,CO2_Emissions_by_Sector_Other_Fuel_Combustion,CO2_Emissions_by_Sector_Transportation,Net_Electricity_Consumption,income_group
238,5079623.0,1.06,1.91,13.73,37.48,0.55,0.73,-18.95,6.16,2.05,13.94,119.2,0
239,5137232.0,0.9,1.95,14.24,37.55,0.55,0.73,-18.94,5.99,1.83,14.04,116.68,0
240,5188607.0,0.9,2.17,15.09,37.97,0.72,0.67,-18.94,6.12,0.88,14.26,119.68,0
241,5234519.0,1.14,1.93,14.71,37.26,0.72,0.68,-18.96,6.02,0.92,13.76,121.55,0
242,5276968.0,1.08,2.04,14.98,36.13,0.54,0.77,-18.95,6.32,1.02,12.18,122.89,0
243,5311916.0,1.37,2.1,15.02,36.58,0.54,0.77,-18.92,6.17,0.95,12.53,125.62,0
244,4479217.0,11.56,0.59,23.82,67.83,3.07,1.71,0.02,14.24,2.7,12.44,28.93,0
245,4665926.0,10.87,0.79,25.1,68.19,3.07,1.71,0.02,14.08,2.71,12.36,30.65,0
246,4829476.0,15.05,0.91,25.3,71.66,2.89,1.71,0.02,13.72,2.47,12.24,31.79,0
247,187280125.0,19.35,2.24,41.47,132.44,0.16,11.31,5.45,35.38,0.31,35.76,76.91,2
248,191260799.0,18.28,2.41,44.54,133.25,0.16,11.85,5.45,33.3,0.37,36.59,82.69,2
249,195305012.0,18.92,2.17,44.94,141.46,0.16,12.21,5.45,37.9,0.47,39.06,84.42,2
250,199426953.0,19.27,2.24,45.14,150.87,0.18,12.72,5.45,41.38,0.84,44.07,89.86,2
251,203631356.0,20.31,2.41,49.37,166.43,0.18,14.14,7.0,46.47,0.97,49.13,93.82,2
252,207906210.0,20.26,2.53,55.9,183.56,0.14,14.14,7.0,52.6,0.82,53.84,93.16,2
253,212228288.0,20.82,2.68,59.76,194.23,0.14,14.14,7.0,55.66,0.87,56.98,101.67,2
254,29027680.0,2.3,1.56,14.38,42.26,0.71,3.32,64.88,7.57,0.42,16.88,31.03,1
255,29264314.0,2.68,1.77,15.96,45.25,0.33,3.34,88.87,8.11,0.46,17.7,35.72,1
256,29506790.0,2.71,1.54,15.2,44.42,0.33,3.95,88.87,7.66,0.51,18.01,35.3,1
257,29773986.0,3.18,1.43,13.19,45.4,0.22,4.12,88.87,8.69,0.56,19.56,37.52,1
258,30090372.0,3.31,1.92,16.45,48.6,0.49,4.21,88.87,8.6,0.4,19.34,39.17,1
259,30470739.0,3.27,1.97,15.67,49.71,0.18,4.11,88.87,8.9,0.56,21.15,41.27,1
260,30926036.0,3.32,2.17,17.64,52.55,0.36,3.98,89.79,7.77,0.31,23.15,44.33,1
261,31444299.0,3.42,2.33,14.79,50.01,0.25,3.98,89.79,7.75,0.32,23.48,45.59,1
262,31989265.0,4.06,2.28,13.44,50.3,0.25,3.98,89.79,8.12,0.25,24.18,47.41,1
263,93966784.0,5.35,3.03,34.83,77.51,0.38,6.06,2.38,12.53,0.67,23.75,56.87,2
264,95570049.0,5.43,3.28,35.86,78.36,0.6,6.12,2.43,12.35,0.58,23.53,58.44,2
265,97212639.0,5.34,3.32,38.53,80.84,0.44,7.22,2.43,11.48,0.56,24.49,61.33,2
266,98871558.0,5.76,3.39,44.59,90.09,0.44,7.71,2.43,13.15,0.59,25.56,64.1,2
267,100513137.0,6.65,3.21,47.99,95.99,0.27,8.42,2.43,13.89,0.53,26.65,66.46,2
268,102113206.0,6.48,3.75,51.88,104.16,0.27,9.51,2.43,14.11,0.6,30.82,71.15,2
269,103663812.0,7.91,4.01,56.04,115.04,0.29,9.88,2.46,16.76,0.71,33.34,78.3,2
270,105172921.0,9.3,4.91,64.12,126.7,0.22,9.88,2.46,17.79,0.9,34.38,81.74,2
271,106651394.0,10.03,4.99,70.44,132.36,0.22,9.88,2.46,15.39,0.65,35.64,86.08,2
272,38042794.0,52.11,11.93,168.84,307.52,0.02,6.22,-71.62,29.02,10.41,47.12,134.93,0
273,38063255.0,46.13,11.4,169.49,303.21,0.03,7.38,-27.08,29.94,9.91,47.72,138.04,0
274,38063164.0,47.59,11.73,164.54,296.97,0.03,6.38,-27.08,28.82,10.12,45.88,134.1,0
275,38040196.0,45.8,11.41,165.0,292.45,0.05,5.87,-27.09,28.58,9.84,43.18,138.1,0
276,38011735.0,41.88,11.19,155.38,279.28,0.02,6.46,-27.11,28.77,9.45,43.79,138.72,0
277,142849468.0,137.03,29.67,956.01,1560.47,31.24,22.69,-769.04,178.43,13.64,244.13,858.52,1
278,142960908.0,139.22,33.27,1015.17,1636.69,31.95,25.09,-687.66,184.01,16.66,249.69,869.26,1
279,143201721.0,122.48,31.16,1007.74,1640.61,32.66,26.25,-687.49,226.31,14.11,237.32,889.14,0
280,143506995.0,122.37,29.91,969.39,1596.82,28.28,27.2,-687.5,223.86,14.22,238.7,881.11,0
281,143819667.0,138.87,31.33,907.38,1580.49,28.89,26.37,-687.53,247.03,16.93,241.39,890.99,0
282,5391428.0,6.56,0.41,13.8,34.59,0.02,0.86,-8.4,6.77,0.29,7.15,25.98,0
283,5398384.0,5.14,0.43,13.58,32.87,0.02,1.26,-7.61,6.71,0.3,7.12,26.26,0
284,5407579.0,4.7,0.4,12.92,31.28,0.03,1.1,-7.61,6.87,0.29,6.47,25.49,0
285,5413393.0,5.34,0.42,12.65,31.81,0.02,1.14,-7.61,7.02,0.3,6.48,25.04,0
286,5418649.0,4.24,0.42,11.34,29.18,0.01,1.27,-7.61,7.22,0.31,6.06,25.65,0
287,54544184.0,26.45,9.3,304.0,443.3,0.11,4.68,6.29,53.37,8.04,51.33,211.88,1
288,55386369.0,23.46,8.83,284.91,419.67,0.13,5.21,6.29,49.28,7.99,53.91,209.51,1
289,56207649.0,21.13,8.44,290.93,419.98,0.09,5.21,6.55,49.06,7.26,51.51,205.59,1
290,57009751.0,33.97,9.07,284.43,429.94,0.07,5.21,6.55,46.11,8.64,56.71,207.19,1
291,57792520.0,33.84,9.46,281.88,428.05,0.07,5.21,6.55,46.76,8.64,56.86,205.81,1
